"","y","black","female","v.prev.full","age","edu","state","region.full"
"1",1,0,1,0.521333336830139,2,4,39,1
"2",0,0,1,0.563333332538605,4,2,31,1
"3",0,0,1,0.564000010490417,1,3,7,1
"4",1,0,1,0.510999977588654,2,2,33,1
"5",1,0,1,0.510999977588654,4,4,33,1
"6",1,0,0,0.521333336830139,2,2,39,1
"7",1,0,1,0.544666647911072,4,2,20,1
"8",0,0,0,0.510999977588654,3,4,33,1
"9",0,0,0,0.467000007629395,3,1,40,1
"10",0,0,1,0.563333332538605,2,4,31,1
"11",1,0,1,0.510999977588654,4,3,33,1
"12",1,0,1,0.510999977588654,2,4,33,1
"13",0,0,1,0.563333332538605,2,4,31,1
"14",0,0,1,0.477999985218048,2,4,22,1
"15",1,0,0,0.563333332538605,4,2,31,1
"16",1,0,0,0.521333336830139,4,1,39,1
"17",0,0,1,0.563333332538605,1,2,31,1
"18",0,0,0,0.510999977588654,2,3,33,1
"19",0,0,1,0.510999977588654,4,3,33,1
"20",0,0,0,0.564000010490417,1,2,7,1
"21",1,0,0,0.521333336830139,3,2,39,1
"22",0,0,0,0.510999977588654,2,4,33,1
"23",1,0,0,0.510999977588654,2,4,33,1
"24",0,0,1,0.477999985218048,3,4,22,1
"25",1,0,0,0.563333332538605,1,2,31,1
"26",1,0,1,0.563333332538605,3,4,31,1
"27",0,0,1,0.563333332538605,4,3,31,1
"28",0,0,0,0.477999985218048,2,1,22,1
"29",0,0,1,0.510999977588654,3,2,33,1
"30",0,0,0,0.561333358287811,4,1,44,3
"31",0,0,0,0.477999985218048,2,3,22,1
"32",0,0,0,0.521333336830139,2,4,39,1
"33",0,0,0,0.510999977588654,1,3,33,1
"34",0,0,1,0.569666624069214,2,2,10,3
"35",1,0,1,0.563333332538605,4,1,31,1
"36",1,0,1,0.488333344459534,3,2,4,3
"37",1,0,1,0.563333332538605,3,2,31,1
"38",0,0,0,0.561333358287811,3,4,44,3
"39",1,0,1,0.533666670322418,2,2,14,2
"40",1,0,0,0.525333285331726,3,4,41,3
"41",1,0,1,0.477999985218048,1,4,22,1
"42",1,0,0,0.569666624069214,1,1,10,3
"43",1,0,1,0.525333285331726,2,4,41,3
"44",1,0,0,0.521333336830139,1,3,39,1
"45",1,0,1,0.525333285331726,2,4,41,3
"46",1,0,0,0.537999987602234,3,2,19,3
"47",0,0,1,0.533666670322418,2,2,14,2
"48",0,0,1,0.566999971866608,2,4,47,3
"49",0,0,1,0.608666658401489,3,1,37,3
"50",0,0,1,0.477999985218048,1,4,22,1
"51",1,0,1,0.563333332538605,3,1,31,1
"52",0,0,1,0.451333343982697,2,3,11,3
"53",1,0,0,0.549333333969116,1,3,36,2
"54",1,0,0,0.471333354711533,2,2,24,2
"55",1,0,1,0.537999987602234,2,2,19,3
"56",1,0,0,0.564000010490417,2,3,7,1
"57",1,0,0,0.540333330631256,1,4,25,3
